Timestamp,FPS,Bitrate_Kbps,Jitter_Sec,RTT_Sec,Packets_Lost
1766000041,26,1868.14,0.000722222,0,0
1766000042,23,1820.09,0.000533333,0,0
1766000043,25,1498.1,0.0012,0,0
1766000044,30,1090.84,0.000388889,0,0
1766000045,28,1964.83,0.000922222,0,0
1766000046,23,1925.64,0.000777778,0,0
1766000047,31,1430.34,0.000844444,0,0
1766000048,27,2419.97,0.000744444,0,0
1766000049,27,1641.11,0.000744444,0,0
1766000050,24,1714.3,0.000655556,0,0
1766000051,29,1305.9,0.000711111,0,0
1766000052,27,1878.3,0.000788889,0,0
1766000053,30,1795.9,0.000922222,0,0
1766000054,26,2094.18,0.002,0,0
1766000055,28,1843.53,0.00295556,0,0
1766000056,28,1894.56,0.00132222,0,0
1766000057,26,1846.33,0.0004,0,0
1766000058,21,1582.74,0.0005,0,0
1766000059,28,1528.4,0.000622222,0,0
1766000060,30,1825,0.0008,0,0
1766000061,26,2028.86,0.00156667,0,0
1766000062,30,1766.72,0.000711111,0,0
1766000063,29,1794.58,0.0026,0,0
1766000064,31,2017.51,0.000688889,0,0
1766000065,30,2125.18,0.000244444,0,0
1766000066,28,2066.98,0.00101111,0,0
1766000067,29,1871.62,0.00122222,0,0
1766000068,27,1879.78,0.00104444,0,0
1766000069,26,1885.65,0.0051,0,0
1766000070,23,1767.89,0.0006,0,0
1766000071,20,1533.6,0.000444444,0,0
1766000072,24,1134.54,0.000377778,0,0
1766000073,28,1733.67,0.00136667,0,0
1766000074,25,1967.5,0.000388889,0,0
1766000075,24,1632.12,0.000477778,0,0
1766000076,26,1519.23,0.00128889,0,0
1766000077,24,1752.18,0.000466667,0,0
1766000078,26,1655.61,0.000388889,0,0
1766000079,22,1760.3,0.0011,0,0
1766000080,26,1546.9,0.000844444,0,0
1766000081,25,1515.74,0.000422222,0,0
1766000082,23,1661.08,0.000544444,0,0
1766000083,14,1610.91,0.000155556,0,0
1766000084,26,887.104,0.000455556,0,0
1766000085,25,1824.18,0.000511111,0,0
1766000086,29,1815.4,0.00143333,0,0
1766000087,27,1908.18,0.000866667,0,0
1766000088,28,1835.34,0.00152222,0,0
1766000089,27,1901.16,0.000577778,0,0
1766000090,30,1532.71,0.0002,0,0
1766000091,28,2001.15,0.000644444,0,0
1766000092,28,1789.74,0.0008,0,0
1766000093,28,2004.28,0.000611111,0,0
1766000094,28,1970.49,0.000388889,0,0
1766000095,30,1892.01,0.000322222,0,0
1766000096,26,2002.71,0.000555556,0,0
1766000097,30,1507.76,0.00147778,0,0
1766000098,22,1982.79,0.000833333,0,0
1766000099,30,1543.49,0.00167778,0,0
1766000100,28,1979.67,0.000533333,0,0
1766000101,28,1969.31,0.000822222,0,0
1766000102,28,1833.97,0.0003,0,0
1766000103,28,1721.42,0.0004,0,0
1766000104,30,1898.86,0.000388889,0,0
1766000105,24,2030.23,0.00102222,0,0
1766000106,28,1626.5,0.0008,0,0
1766000107,26,1875.52,0.000555556,0,0
1766000108,28,1738.74,0.000555556,0,0
1766000109,30,1886.74,0.0023,0,0
1766000110,27,2099.46,0.00103333,0,0
1766000111,25,1550.61,0.000311111,0,0
1766000112,30,1735.22,0.00244444,0,0
1766000113,28,2031.79,0.000733333,0,0
1766000114,30,1910.17,0.000844444,0,0
1766000115,28,2009.98,0.00112222,0,0
1766000116,26,1855.92,0.000788889,0,0
1766000117,24,1772.26,0.00145556,0,0
1766000118,26,1622.86,0.000977778,0,0
1766000119,29,1856.93,0.000355556,0,0
1766000120,25,1635.68,0.000355556,0,0
1766000121,28,1812.85,0.000477778,0,0
1766000122,26,1955.06,0.000744444,0,0
1766000123,19,1762.71,0.000511111,0,0
1766000124,25,1095.07,0.000666667,0,0
1766000125,28,1699.14,0.000744444,0,0
1766000126,20,1873.11,0.00204444,0,0
1766000127,24,1408.95,0.000622222,0,0
1766000128,27,1438.46,0.000611111,0,0
1766000129,17,1828.84,0.000788889,0,0
1766000130,24,1256.57,0.000977778,0,0
1766000131,28,1341.44,0.00127778,0,0
1766000132,27,1941.55,0.00134444,0,0
1766000133,27,1866.46,0.0007,0,0
1766000134,30,1911.15,0.00111111,0,0
1766000135,26,2030.79,0.00106667,0,0
1766000136,30,1716.1,0.00106667,0,0
1766000137,28,1997.78,0.001,0,0
1766000138,30,1893.1,0.00253333,0,0
1766000139,30,1996.69,0.000466667,0,0
1766000140,29,1749.62,0.000744444,0,0
1766000141,27,2015.84,0.000477778,0,0
1766000142,30,1913.78,0.00115556,0,0
1766000143,30,1938.5,0.000844444,0,0
1766000144,29,2089.54,0.0009,0,0
1766000145,24,1880.25,0.000611111,0,0
1766000146,29,1673.43,0.000688889,0,0
1766000147,30,1946.39,0.00162222,0,0
1766000148,29,2070.36,0.000477778,0,0
1766000149,25,1660.13,0.000522222,0,0
1766000150,31,1732.88,0.00132222,0,0
1766000151,24,2068.14,0.000333333,0,0
1766000152,28,1622.62,0.00404444,0,0
1766000153,30,1947.5,0.000677778,0,0
1766000154,30,2023.9,0.000588889,0,0
1766000155,27,1999.78,0.00177778,0,0
1766000156,29,1829.64,0.000644444,0,0
1766000157,30,1936.28,0.000322222,0,0
1766000158,24,1740.05,0.000233333,0,0
1766000159,29,1686.57,0.0004,0,0
1766000160,30,2047.2,0.00131111,0,0
1766000161,27,1962.42,0.000966667,0,0
1766000162,28,1852.65,0.000688889,0,0
1766000163,26,1896.15,0.0004,0,0
1766000164,20,1741.97,0.000966667,0,0
1766000165,29,1137.79,0.00551111,0,0
1766000166,24,1932.82,0.00108889,0,0
1766000167,20,1778.81,0.000655556,0,0
1766000168,24,976.064,0.0004,0,0
1766000169,22,1727.98,0.000455556,0,0
1766000170,21,1623.66,0.00163333,0,0
1766000171,25,1244.13,0.000722222,0,0
1766000172,20,1696.16,0.000277778,0,0
1766000173,27,1383.49,0.000566667,0,0
1766000174,17,1847.68,0.00163333,0,0
1766000175,36,1624.08,0.00436667,0,0
1766000176,20,2050.58,0.000388889,0,0
1766000177,26,1179.22,0.000611111,0,0
1766000178,28,1831.74,0.000688889,0,0
1766000179,28,1816.86,0.000766667,0,0
1766000180,26,1747.11,0.0002,0,0
1766000181,26,1758.72,0.000566667,0,0
1766000182,30,1769.75,0.000477778,0,0
1766000183,30,2003.62,0.000488889,0,0
1766000184,28,1998.06,0.00113333,0,0
1766000185,28,1941.68,0.000433333,0,0
1766000186,30,1816.95,0.00151111,0,0
1766000187,30,2155.26,0.000333333,0,0
1766000188,30,1820.34,0.00113333,0,0
1766000189,30,2115.74,0.00106667,0,0
1766000190,28,2037.66,0.000488889,0,0
1766000191,30,1599.53,0.000811111,0,0
1766000192,30,2038.78,0.000966667,0,0
1766000193,30,1985.89,0.000722222,0,0
1766000194,30,2025.69,0.000844444,0,0
1766000195,26,1997.45,0.0003,0,0
1766000196,30,1680.6,0.000855556,0,0
1766000197,28,2104.86,0.00206667,0,0
1766000198,30,1958.24,0.00145556,0,0
1766000199,28,2024.96,0.000644444,0,0
1766000200,30,1924.03,0.000755556,0,0
1766000201,30,1977.98,0.000777778,0,0
1766000202,28,1984.36,0.000377778,0,0
1766000203,24,1881.41,0.000577778,0,0
1766000204,28,1424.47,0.000344444,0,0
1766000205,30,1736.05,0.000611111,0,0
1766000206,26,2102.26,0.0009,0,0
1766000207,28,1876.34,0.00106667,0,0
1766000208,28,1905.13,0.000577778,0,0
1766000209,28,1866.97,0.000844444,0,0
1766000210,30,1640.26,0.00172222,0,0
1766000211,28,2019.72,0.000766667,0,0
1766000212,21,1873.38,0.0006,0,0
1766000213,25,1454.48,0.00101111,0,0
1766000214,24,1670.3,0.000833333,0,0
1766000215,22,1392.45,0.00105556,0,0
1766000216,25,1644.32,0.00407778,0,0
1766000217,27,1791.7,0.000766667,0,0
1766000218,23,1831.45,0.0008,0,0
1766000219,30,1348.34,0.00157778,0,0
1766000220,26,2027.3,0.00303333,0,0
1766000221,24,1734.38,0.0008,0,0
1766000222,26,1681.94,0.000455556,0,0
1766000223,20,1731.15,0.0014,0,0
1766000224,25,1430.3,0.00115556,0,0
1766000225,30,1419.96,0.00132222,0,0
1766000226,28,2066.79,0.00101111,0,0
1766000227,26,1921.61,0.000911111,0,0
1766000228,30,1939.98,0.000566667,0,0
1766000229,30,2025.75,0.000544444,0,0
1766000230,26,1849.28,0.00111111,0,0
1766000231,26,1699.46,0.000588889,0,0
1766000232,24,1740.62,0.00216667,0,0
1766000233,30,1428.14,0.00104444,0,0
1766000234,28,1935.77,0.0005,0,0
1766000235,28,2036.79,0.000266667,0,0
1766000236,30,1944.04,0.00202222,0,0
1766000237,28,1990.23,0.000822222,0,0
1766000238,30,1833.58,0.000366667,0,0
1766000239,26,1951.33,0.00111111,0,0
1766000240,28,1476.84,0.000855556,0,0
1766000241,28,1883.74,0.00123333,0,0
1766000242,30,1895.2,0.000533333,0,0
1766000243,18,1984.76,0.000566667,0,0
1766000244,11,1104.61,0.000788889,0,0
1766000245,32,1480.19,0.00308889,0,0
1766000246,30,1606.93,0.000622222,0,0
1766000247,28,1958.38,0.00506667,0,0
1766000248,28,1871.85,0.0005,0,0
1766000249,28,1870.22,0.000333333,0,0
1766000250,30,1960.86,0.000233333,0,0
1766000251,31,2002.44,0.00133333,0,0
