Timestamp,FPS,Bitrate_Kbps,Jitter_Sec,RTT_Sec,Packets_Lost
1765999952,0,0,0,0,0
1765999953,0,0,0,0,0
1765999954,0,0,0,0,0
1765999955,0,0,0,0,0
1765999956,24,0,0,0,0
1765999957,28,0,0.00348889,0,0
1765999958,28,1793.73,0.00157778,0,0
1765999959,28,1769.57,0.00176667,0,0
1765999960,32,1721.99,0.00451111,0,0
1765999961,25,2371.54,0.0004,0,0
1765999962,27,1446.09,0.0004,0,0
1765999963,26,1805.3,0.000588889,0,0
1765999964,26,1756.75,0.000788889,0,0
1765999965,29,1809.79,0.00106667,0,0
1765999966,30,1724.54,0.00103333,0,0
1765999967,26,2060.05,0.000322222,0,0
1765999968,28,1799.75,0.000422222,0,0
1765999969,24,1897.62,0.000255556,0,0
1765999970,26,1664.08,0.0011,0,0
1765999971,28,1793.8,0.000566667,0,0
1765999972,28,1885.72,0.000444444,0,0
1765999973,26,1881.88,0.000677778,0,0
1765999974,30,1755.46,0.000222222,0,0
1765999975,30,1767.33,0.00154444,0,0
1765999976,29,2136.58,0.00222222,0,0
1765999977,31,1952.43,0.00236667,0,0
1765999978,28,2037.88,0.000733333,0,0
1765999979,26,1897.53,0.000633333,0,0
1765999980,23,1772.18,0.00196667,0,0
1765999981,31,1617.42,0.00132222,0,0
1765999982,26,2056.36,0.00122222,0,0
1765999983,22,1742.16,0.000477778,0,0
1765999984,24,1236.42,0.00227778,0,0
1765999985,22,1761.58,0.000355556,0,0
1765999986,25,1328.47,0.00151111,0,0
1765999987,26,1740.95,0.00181111,0,0
1765999988,22,1768.66,0.00103333,0,0
1765999989,30,1545.98,0.000655556,0,0
1765999990,20,1996.1,0.00116667,0,0
1765999991,20,1154.62,0.000344444,0,0
1765999992,24,1378.14,0.000411111,0,0
1765999993,24,1659.22,0.00215556,0,0
1765999994,22,1628.09,0.000622222,0,0
1765999995,23,1285.33,0.00181111,0,0
1765999996,30,1704.38,0.000922222,0,0
1765999997,26,1964.5,0.00101111,0,0
1765999998,28,1811.78,0.000455556,0,0
1765999999,24,1705.4,0.000633333,0,0
1766000000,26,1643.48,0.000377778,0,0
1766000001,22,1744.04,0.000344444,0,0
1766000002,30,1539.13,0.000411111,0,0
1766000003,30,2046.45,0.00124444,0,0
1766000004,28,1948.44,0.0015,0,0
1766000005,28,1585.71,0.00344444,0,0
1766000006,26,2063.17,0.0023,0,0
1766000007,28,1758.15,0.000844444,0,0
1766000008,24,1891.78,0.00174444,0,0
1766000009,26,1691.5,0.000433333,0,0
1766000010,30,1749.39,0.00102222,0,0
1766000011,28,2032.45,0.0024,0,0
1766000012,30,1868.57,0.00165556,0,0
1766000013,26,2001.32,0.00148889,0,0
1766000014,26,1460.86,0.00157778,0,0
1766000015,30,1861.09,0.00283333,0,0
1766000016,30,2085.85,0.00212222,0,0
1766000017,26,1932.04,0.00275556,0,0
1766000018,29,1831.32,0.00144444,0,0
1766000019,31,1948.17,0.00406667,0,0
1766000020,30,1948.96,0.000977778,0,0
1766000021,26,2080.76,0.000866667,0,0
1766000022,28,1763.93,0.000355556,0,0
1766000023,28,1600.2,0.000611111,0,0
1766000024,26,1956.65,0.00398889,0,0
1766000025,27,1770.88,0.000655556,0,0
1766000026,23,1865.73,0.000611111,0,0
1766000027,23,1397.98,0.000788889,0,0
1766000028,25,1556.04,0.000266667,0,0
1766000029,27,1719.29,0.000377778,0,0
1766000030,26,1864.28,0.000411111,0,0
1766000031,19,1747.48,0.000577778,0,0
1766000032,23,1095.01,0.00225556,0,0
1766000033,30,1608.82,0.000722222,0,0
1766000034,25,2051.7,0.00104444,0,0
1766000035,26,1578.87,0.0025,0,0
1766000036,25,1742.82,0.00304444,0,0
1766000037,20,1678.08,0.000333333,0,0
1766000038,22,1434.09,0.000566667,0,0
1766000039,25,1541.26,0.00112222,0,0
1766000040,25,1772.97,0.000766667,0,0
